employee_id,employee_name,gender,age,DOB,marital_status,department,job_role,education_level,education_field,hire_date,years_at_company,monthly_salary,hourly_rate,overtime,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,training_times_last_year,num_companies_worked,promotion_last_years,distance_from_home,business_travel,city,manager_name,attrition,reason_for_leaving,exit_date,missing_survey_data,duplicate_emp_id,age_group,tenure_group
EMP1189,Eileen Myers,Female,41.0,1987-11-01,Married,IT,System Admin,4,Medical,,6,53900.0,56.61,No,3.0,3.0,2.0,2.0,5.0,3.0,2,5.4,Travel_Frequently,Adamfort,Elijah Herrera,No,,,False,False,36-45,3-6yr
EMP2035,James Turner,Male,50.0,1994-05-14,Single,Human Resources,Recruiter,5,Medical,,6,47600.0,83.36,No,3.0,,2.0,3.0,2.0,3.0,0,28.0,Travel_Rarely,Gonzaleshaven,Jamie King,Yes,Higher Salary,2022-07-10,True,False,46-65,3-6yr
EMP1086,Catherine Robinson,Female,40.0,1981-08-11,Single,Sales,Sales Representative,2,Marketing,2019-08-29,5,58300.0,70.35,Yes,2.0,4.0,1.0,3.0,2.0,1.0,1,2.8,Travel_Frequently,Howardberg,Nathaniel Merritt,No,,,False,False,36-45,3-6yr
EMP1363,Kevin Brown,Male,41.0,,Married,IT,Software Engineer,5,Business,,7,79900.0,65.55,No,3.0,4.0,2.0,3.0,5.0,4.0,0,20.9,Non-Travel,West Michael,Brenda French,No,,,False,False,36-45,6+yr
EMP1887,Jeffrey Kemp,Male,45.0,1973-12-10,Single,IT,IT Support,2,Marketing,,6,44500.0,54.05,No,2.0,1.0,1.0,,2.0,2.0,1,18.8,Non-Travel,West Jenny,Jason Harrison,No,,,True,False,36-45,3-6yr
EMP1331,Aaron Soto,Female,35.0,,Single,Marketing,Marketing Executive,4,Human Resources,,7,25300.0,87.39,No,5.0,,1.0,4.0,4.0,3.0,2,,Non-Travel,South Brittanyton,Ashley Walker,Yes,Health Issues,,True,False,26-35,6+yr
EMP1169,Brandon Franklin,Male,21.0,1985-06-09,Married,IT,IT Support,1,Medical,,7,50500.0,91.97,No,3.0,2.0,1.0,2.0,1.0,5.0,3,35.3,Non-Travel,East Cheyenne,Robin Aguilar,No,,,False,False,18-25,6+yr
EMP1305,Spencer Johnson,Male,54.0,,Married,Finance,Financial Analyst,4,Life Sciences,,7,89800.0,59.58,No,3.0,2.0,2.0,2.0,1.0,3.0,2,,Travel_Frequently,Port Carrieland,Sarah Buchanan,Yes,Retirement,,False,False,46-65,6+yr
EMP2138,Julie Delgado,Not Disclosed,41.0,1982-06-01,Married,Marketing,Content Strategist,2,Marketing,2020-04-21,4,47900.0,56.73,No,3.0,,,1.0,3.0,0.0,0,,Travel_Frequently,Lake Robertfurt,Gina Hanson,No,,,True,True,36-45,3-6yr
EMP1587,Christopher Wilson Jr.,Male,36.0,,Not Disclosed,Marketing,Content Strategist,3,Life Sciences,,8,42500.0,58.36,Yes,4.0,4.0,3.0,,5.0,6.0,2,,Travel_Rarely,Lake Justinmouth,Susan Young,Yes,Better Opportunity,,True,False,36-45,6+yr
EMP1516,Anne Blackburn,Female,59.0,1981-12-13,Not Disclosed,Human Resources,HR Manager,5,Life Sciences,2020-05-17,4,75600.0,44.15,No,1.0,,4.0,3.0,4.0,3.0,2,8.5,Non-Travel,North Ronnieshire,Michelle Ramirez,Yes,Better Opportunity,,True,False,46-65,3-6yr
EMP2048,Shawn Stevens,Male,36.0,,Divorced,Marketing,Marketing Executive,4,Marketing,,3,61300.0,75.66,No,5.0,4.0,,1.0,2.0,3.0,3,26.1,Travel_Frequently,Costaside,Michael Cordova,No,,,True,False,36-45,1-3yr
EMP1680,Brandon Stevens,Male,47.0,,Single,Sales,Sales Executive,5,Technical Degree,,8,96100.0,31.22,No,2.0,3.0,2.0,2.0,1.0,2.0,0,30.1,Non-Travel,Micheleport,Laura Glass,No,,,False,False,46-65,6+yr
EMP2044,Arthur Cook,Female,59.0,1975-04-09,Divorced,Sales,Sales Manager,4,Technical Degree,,2,118000.0,81.56,No,3.0,1.0,3.0,3.0,2.0,0.0,1,,Travel_Rarely,Kempshire,Jacob Morgan Jr.,No,,,False,False,46-65,1-3yr
EMP1922,Valerie Richardson,Female,37.0,1987-05-12,Divorced,Finance,Accountant,2,Business,2018-09-21,6,40700.0,99.49,No,3.0,4.0,3.0,3.0,2.0,2.0,3,11.7,Non-Travel,East Feliciamouth,Joshua Ritter,No,,,False,False,36-45,3-6yr
EMP1113,Caitlin Ochoa,Female,55.0,,Not Disclosed,Marketing,Marketing Executive,4,Human Resources,2017-01-30,7,100200.0,80.59,Yes,5.0,3.0,,,3.0,5.0,3,26.6,Travel_Frequently,North Sheila,Katherine Ritter,No,,,True,False,46-65,6+yr
EMP2477,Ernest Taylor,Male,26.0,,Married,Research & Development,Research Scientist,4,Business,,4,101200.0,53.21,Yes,3.0,4.0,2.0,2.0,0.0,1.0,3,,Non-Travel,Karenmouth,Victoria Evans,No,,,False,False,26-35,3-6yr
EMP1875,Susan Lambert,Male,49.0,1983-01-05,Not Disclosed,Finance,Financial Analyst,3,Marketing,2019-07-04,5,21200.0,43.46,Yes,2.0,3.0,4.0,2.0,4.0,4.0,0,17.1,Non-Travel,West Pamelastad,Julie Lara,No,,,False,False,46-65,3-6yr
EMP1104,Valerie Phillips,Male,39.0,,Single,Research & Development,Research Scientist,1,Marketing,,1,109200.0,76.13,No,4.0,2.0,4.0,3.0,5.0,1.0,1,,Non-Travel,New Alexisview,Sarah Harris,No,,,False,False,36-45,<1yr
EMP2010,Kristi Yates,Female,22.0,,Not Disclosed,Sales,Sales Manager,4,Marketing,,5,74450.0,31.13,No,2.0,,4.0,3.0,4.0,3.0,0,2.1,Travel_Frequently,Lake Patricia,Jared Newton,No,,,True,False,18-25,3-6yr
EMP2352,Tiffany Rogers,Female,29.0,1996-09-02,Married,Research & Development,Lab Technician,3,Technical Degree,,4,25200.0,43.9,Yes,3.0,1.0,1.0,,0.0,4.0,0,36.6,Non-Travel,Johnsonport,Thomas Diaz,No,,,True,False,26-35,3-6yr
EMP1071,Lisa Baker,Female,25.0,,Divorced,Finance,Finance Manager,1,Life Sciences,,7,37300.0,73.88,No,1.0,1.0,1.0,1.0,1.0,1.0,1,,Non-Travel,Kennethland,David Alvarez,No,,,False,False,18-25,6+yr
EMP1744,Valerie Macdonald,Female,41.0,1995-12-29,Married,Human Resources,HR Executive,3,Marketing,2016-01-30,8,60600.0,76.84,Yes,5.0,4.0,4.0,3.0,2.0,3.0,0,,Travel_Frequently,West Carlystad,Amy Mendoza,No,,,False,True,36-45,6+yr
EMP1987,Nichole Walters,Female,49.0,1967-03-21,Married,Marketing,Marketing Manager,1,Technical Degree,2015-03-20,9,86400.0,65.1,Yes,3.0,3.0,,2.0,2.0,3.0,1,,Travel_Rarely,Williamsmouth,Jaime Baker,No,,,True,False,46-65,6+yr
EMP2283,Ryan Mcmillan,Male,48.0,1978-10-29,Single,Research & Development,Lab Technician,3,Human Resources,2022-03-05,2,114000.0,81.99,No,3.0,,2.0,2.0,1.0,3.0,2,,Travel_Frequently,Rebeccamouth,Taylor Bryant,Yes,Health Issues,,True,False,46-65,1-3yr
EMP1575,Vincent Walker,Not Disclosed,37.0,,Not Disclosed,Finance,Accountant,4,Business,2018-01-12,6,64800.0,51.57,No,2.0,2.0,2.0,2.0,4.0,0.0,1,,Travel_Frequently,North James,Heidi Miller,Yes,,2021-12-03,False,False,36-45,3-6yr
EMP1269,Mary Miller,Male,37.0,,Married,Human Resources,HR Executive,1,Business,2015-04-21,9,36200.0,83.64,Yes,3.0,1.0,3.0,4.0,2.0,2.0,3,,Travel_Frequently,South Heathermouth,Jessica Barnett,No,,,False,False,36-45,6+yr
EMP2041,Amber Johnson,Female,48.0,1997-01-07,Single,Research & Development,Lab Technician,4,Medical,2016-08-31,8,58800.0,47.59,No,2.0,,,4.0,3.0,4.0,3,,Non-Travel,Garzaview,Michael Mcintyre,No,,,True,False,46-65,6+yr
EMP2462,Cheryl Patterson,Male,44.0,,Not Disclosed,Human Resources,HR Executive,1,Human Resources,,6,25200.0,81.06,No,4.0,2.0,2.0,1.0,5.0,4.0,0,27.7,Travel_Frequently,Angelfort,Scott Silva,No,,,False,False,36-45,3-6yr
EMP1834,Vincent Miller,Male,41.0,,Single,Research & Development,Research Scientist,4,Technical Degree,,3,54600.0,82.65,No,1.0,3.0,4.0,4.0,2.0,2.0,0,,Travel_Rarely,Choiberg,Kristen Wilson,No,,,False,False,36-45,1-3yr
EMP1957,Tracey Ryan,Male,38.0,,Single,Sales,Sales Representative,3,Marketing,,5,58300.0,87.18,Yes,3.0,3.0,4.0,1.0,2.0,5.0,1,11.7,Travel_Frequently,East Cameron,Andrew Ross,No,,,False,False,36-45,3-6yr
EMP2090,Lori Mcintosh,Male,47.0,,Not Disclosed,Finance,Finance Manager,3,Human Resources,,4,113200.0,75.46,No,1.0,1.0,2.0,2.0,5.0,0.0,2,25.0,Travel_Frequently,Austinhaven,Stephen Burns,No,,,False,False,46-65,3-6yr
EMP1032,Rebecca Miller,Female,50.0,,Single,IT,System Admin,5,Medical,,9,66000.0,33.95,Yes,2.0,4.0,1.0,2.0,0.0,2.0,3,3.0,Travel_Rarely,South Alexanderside,Thomas Howell,No,,,False,False,46-65,6+yr
EMP1051,Jeffrey Hill,Not Disclosed,21.0,,Single,Marketing,Marketing Manager,4,Medical,,9,119600.0,46.26,Yes,1.0,3.0,3.0,1.0,2.0,6.0,2,12.5,Travel_Rarely,Cynthiaberg,Derek Dixon,No,,,False,False,18-25,6+yr
EMP1017,Rachel Kennedy Md,Male,54.0,,Married,Sales,Sales Executive,2,Marketing,,6,70800.0,50.3,Yes,3.0,2.0,3.0,3.0,2.0,0.0,2,2.4,Non-Travel,Stephaniestad,Brian Harrison,No,,,False,False,46-65,3-6yr
EMP2049,Ryan Cooper,Male,57.0,,Divorced,IT,System Admin,5,Business,,4,29400.0,70.2,Yes,4.0,3.0,2.0,4.0,1.0,2.0,1,,Travel_Rarely,New James,Christine Hunter,No,,,False,True,46-65,3-6yr
EMP1880,John Lopez Dds,Male,40.0,,Divorced,Finance,Financial Analyst,2,Life Sciences,,4,68300.0,75.48,No,1.0,4.0,2.0,4.0,0.0,6.0,0,39.4,Travel_Rarely,East Richardmouth,Melinda Ferguson,Yes,Career Change,,False,False,36-45,3-6yr
EMP1530,Tara Brewer,Female,49.0,,Married,Marketing,Marketing Executive,2,Business,,1,23600.0,44.8,No,3.0,3.0,1.0,1.0,0.0,0.0,1,,Travel_Frequently,Colemouth,Emily Rodriguez,Yes,Relocation,,False,False,46-65,<1yr
EMP1991,Timothy Martin,Male,22.0,,Married,Sales,Sales Representative,2,Human Resources,,5,73000.0,96.49,No,5.0,1.0,,3.0,3.0,0.0,0,,Non-Travel,West Henry,Erin Garcia,No,,,True,False,18-25,3-6yr
EMP1633,Todd Kim,Female,41.0,,Single,Finance,Finance Manager,1,Life Sciences,,2,89900.0,60.29,No,1.0,3.0,,2.0,1.0,6.0,0,34.6,Non-Travel,East Michael,Mrs. Elizabeth Alvarez,No,,,True,False,36-45,1-3yr
EMP2431,Eric Stuart,Female,52.0,,Married,Human Resources,HR Executive,2,Technical Degree,2023-03-18,1,63915.0,39.55,Yes,3.0,2.0,4.0,1.0,4.0,3.0,2,,Travel_Frequently,Lake Mirandachester,Zachary Patton,Yes,Retirement,2024-03-16,False,False,46-65,<1yr
EMP2132,Kevin Snyder,Male,34.0,1972-04-27,Married,IT,System Admin,4,Business,,3,70500.0,88.03,No,3.0,3.0,2.0,3.0,2.0,2.0,3,19.5,Non-Travel,Gibsonberg,Dr. Melinda Brown,No,,,False,False,26-35,1-3yr
EMP1593,Stephanie Robertson,Female,45.0,,Divorced,Finance,Finance Manager,1,Life Sciences,,4,71000.0,79.82,No,3.0,1.0,2.0,2.0,0.0,1.0,3,,Travel_Rarely,Seanberg,Michael Lewis,No,,,False,False,36-45,3-6yr
EMP1374,Zachary Bryant,Male,26.0,1974-09-02,Single,Marketing,Marketing Executive,1,Technical Degree,,1,25400.0,68.09,No,3.0,1.0,1.0,1.0,4.0,2.0,1,15.7,Non-Travel,Anthonyburgh,Michael Johnson,No,,,False,False,26-35,<1yr
EMP1233,William Griffith,Female,47.0,,Married,Research & Development,Lab Technician,4,Life Sciences,,2,66200.0,43.79,No,1.0,2.0,3.0,4.0,2.0,3.0,2,,Travel_Rarely,Stephensborough,Patricia Taylor,No,,,False,False,46-65,1-3yr
EMP1500,Brett Bowen,Female,31.0,1999-04-02,Not Disclosed,IT,Software Engineer,2,Life Sciences,,8,60300.0,56.39,Yes,4.0,4.0,1.0,1.0,5.0,0.0,2,,Travel_Frequently,South Debbie,William Savage,Yes,,,False,False,26-35,6+yr
EMP1084,Brianna Campbell,Male,33.0,,Single,IT,System Admin,3,Marketing,,1,24500.0,93.72,No,2.0,3.0,2.0,2.0,4.0,5.0,0,,Non-Travel,South Tracyborough,Ryan Williams,No,,,False,False,26-35,<1yr
EMP2231,Nicole Young,Female,41.0,,Married,Sales,Sales Representative,5,Human Resources,,6,58300.0,99.41,Yes,3.0,3.0,4.0,3.0,1.0,2.0,0,,Travel_Frequently,Floresmouth,Alexander Beard,No,,,False,False,36-45,3-6yr
EMP1443,Eddie Larsen,Female,51.0,1989-12-20,Married,Research & Development,Lab Technician,4,Marketing,,1,71800.0,34.95,No,3.0,3.0,4.0,2.0,1.0,0.0,1,,Travel_Rarely,Lake Jacobhaven,Christopher Escobar,No,,,False,False,46-65,<1yr
EMP1926,Robin Mills,Not Disclosed,26.0,,Single,IT,Software Engineer,3,Life Sciences,,6,85600.0,58.76,Yes,3.0,3.0,4.0,,4.0,3.0,3,,Non-Travel,Lake Jason,Duane Williams,No,,,True,False,26-35,3-6yr
EMP1710,Joshua Hill,Female,41.0,,Married,Sales,Sales Executive,2,Business,2022-10-31,2,92000.0,31.02,No,5.0,,,2.0,5.0,2.0,0,,Travel_Rarely,Margaretview,Benjamin Bass,No,,,True,False,36-45,1-3yr
EMP2062,Wendy Romero,Male,29.0,,Not Disclosed,Research & Development,Lab Technician,4,Technical Degree,2017-03-26,7,89600.0,37.96,Yes,3.0,,3.0,,4.0,0.0,0,2.2,Non-Travel,West Steveville,Jessica Martinez,Yes,Higher Salary,,True,False,26-35,6+yr
EMP2226,David Wilkins,Male,43.0,,Single,IT,Software Engineer,5,Marketing,,7,63400.0,85.29,No,3.0,2.0,2.0,1.0,2.0,3.0,3,4.6,Travel_Rarely,Wagnerfurt,Amanda Bray,Yes,Better Opportunity,,False,False,36-45,6+yr
EMP1717,Steven Bryan,Not Disclosed,41.0,,Married,Sales,Sales Manager,5,Life Sciences,,4,87100.0,87.77,Yes,1.0,3.0,3.0,1.0,2.0,3.0,2,23.4,Travel_Rarely,Trevorton,Tiffany Morgan,No,,,False,False,36-45,3-6yr
EMP2348,April Shaw,Male,40.0,,Married,Marketing,Content Strategist,5,Human Resources,,3,56000.0,70.67,No,5.0,4.0,2.0,,5.0,4.0,3,33.6,Travel_Rarely,South Kevin,Nancy Reynolds,No,,,True,False,36-45,1-3yr
EMP2070,Nicholas Welch,Male,42.0,,Divorced,IT,System Admin,5,Marketing,,9,115600.0,52.99,No,3.0,2.0,,4.0,5.0,5.0,0,,Non-Travel,Jacobsside,Joseph Jackson,No,,,True,False,36-45,6+yr
EMP1390,Kristina Williams,Female,41.0,,Divorced,Human Resources,HR Manager,3,Business,,3,84000.0,66.91,Yes,1.0,1.0,,1.0,3.0,3.0,0,6.5,Travel_Rarely,Phillipstown,Robert Pham,No,,,True,False,36-45,1-3yr
EMP2234,Jessica Lopez,Female,35.0,1991-12-17,Divorced,Human Resources,Recruiter,5,Technical Degree,2016-09-17,8,64900.0,43.28,No,3.0,2.0,2.0,1.0,3.0,1.0,2,29.0,Non-Travel,Blackwellchester,Linda Hunt,Yes,Better Opportunity,,False,False,26-35,6+yr
EMP2000,Kimberly Moody,Female,56.0,,Married,IT,System Admin,1,Marketing,2023-11-27,1,63500.0,56.76,No,3.0,1.0,4.0,3.0,4.0,5.0,3,,Travel_Frequently,East Vanessa,Mr. Stephen Jones,No,,,False,False,46-65,<1yr
EMP2445,Nancy Wilson,Male,26.0,1977-07-22,Married,Finance,Finance Manager,5,Marketing,,3,70000.0,77.66,No,3.0,,3.0,1.0,5.0,1.0,3,28.6,Travel_Frequently,New Jackside,Gabriella Cole,No,,,True,False,26-35,1-3yr
EMP1351,Frances Lee,Female,24.0,,Single,IT,Software Engineer,5,Technical Degree,,9,26800.0,52.4,No,3.0,,1.0,4.0,5.0,0.0,3,,Travel_Rarely,New Paul,Dr. Laura Clark,No,,,True,False,18-25,6+yr
EMP2069,Joseph Case,Female,37.0,,Divorced,Marketing,Marketing Executive,4,Business,,6,61800.0,38.41,Yes,3.0,4.0,4.0,3.0,0.0,6.0,2,38.3,Non-Travel,New Heatherville,John Jensen,No,,,False,False,36-45,3-6yr
EMP1586,Justin Ward,Female,41.0,,Not Disclosed,IT,IT Support,1,Marketing,,6,60500.0,76.73,No,3.0,1.0,1.0,1.0,4.0,4.0,1,,Non-Travel,Kennethland,Frank Wilson,No,,,False,False,36-45,3-6yr
EMP2467,Russell Gilmore,Female,56.0,,Married,Finance,Financial Analyst,3,Medical,2016-03-29,8,71600.0,67.0,Yes,3.0,,2.0,4.0,2.0,4.0,3,18.6,Non-Travel,New Kara,Bryan Phillips,No,,,True,False,46-65,6+yr
EMP2009,Mr. Ryan Harvey,Not Disclosed,42.0,1987-08-18,Single,Finance,Accountant,4,Human Resources,,5,77400.0,96.34,No,3.0,3.0,3.0,1.0,5.0,4.0,3,,Travel_Rarely,Stephenmouth,David Davis,No,,,False,False,36-45,3-6yr
EMP2401,Ashley Gutierrez,Male,31.0,,Single,IT,Software Engineer,5,Medical,,2,103600.0,94.36,No,3.0,,3.0,,1.0,5.0,0,14.7,Travel_Rarely,Ericborough,Steven Martinez,No,,,True,False,26-35,1-3yr
EMP1378,Alan Roberts,Male,41.0,1977-03-06,Not Disclosed,IT,Software Engineer,5,Marketing,,1,99500.0,45.37,No,2.0,3.0,,2.0,3.0,6.0,0,4.1,Travel_Rarely,South Charles,Matthew Thornton,Yes,,,True,False,36-45,<1yr
EMP1465,Jennifer Carey,Not Disclosed,29.0,,Single,Human Resources,HR Manager,5,Business,2018-12-09,6,105100.0,82.5,Yes,3.0,2.0,4.0,4.0,2.0,5.0,2,17.6,Non-Travel,North David,David Solomon,Yes,Retirement,,False,False,26-35,3-6yr
EMP1898,Mary Lewis,Not Disclosed,37.0,,Not Disclosed,Human Resources,Recruiter,5,Marketing,,4,92200.0,36.51,Yes,5.0,3.0,1.0,,1.0,1.0,3,1.5,Non-Travel,Garciaside,Colleen Sheppard,No,,,True,False,36-45,3-6yr
EMP1200,Emily Nolan,Female,40.0,,Divorced,Research & Development,Research Scientist,2,Life Sciences,,7,94400.0,82.89,No,3.0,1.0,2.0,2.0,2.0,4.0,2,,Travel_Frequently,Susanfort,Andrea Byrd,No,,,False,False,36-45,6+yr
EMP1170,Austin Oconnor,Female,50.0,,Single,IT,IT Support,1,Medical,,3,61700.0,77.1,No,2.0,4.0,4.0,,1.0,1.0,3,24.4,Non-Travel,New Lisamouth,Mark Dougherty,No,,,True,False,46-65,1-3yr
EMP1824,James Copeland Md,Female,39.0,,Married,IT,IT Support,5,Human Resources,,3,61700.0,44.24,No,3.0,,1.0,2.0,5.0,0.0,2,,Travel_Rarely,Melvinchester,Stephanie Miller,No,,,True,False,36-45,1-3yr
EMP2419,Angela Johnson,Male,34.0,1976-10-09,Married,IT,Software Engineer,3,Life Sciences,,1,50700.0,78.26,No,3.0,1.0,4.0,3.0,1.0,4.0,2,,Non-Travel,Williamchester,Glenda Thompson,No,,,False,False,26-35,<1yr
EMP2086,Kyle King,Male,50.0,,Divorced,Sales,Sales Representative,5,Life Sciences,,8,58300.0,99.79,Yes,3.0,,1.0,4.0,5.0,1.0,3,,Travel_Rarely,Rojasmouth,Joseph Coleman,No,,,True,False,46-65,6+yr
EMP1382,Ann Maddox,Male,57.0,,Single,Research & Development,Data Analyst,4,Technical Degree,,6,80400.0,35.22,Yes,3.0,2.0,4.0,3.0,4.0,3.0,3,20.2,Non-Travel,Lake Jesse,Heather Alvarado,No,,,False,False,46-65,3-6yr
EMP2280,Paul Mueller,Male,47.0,,Married,Research & Development,Research Scientist,4,Business,,8,115600.0,42.99,No,4.0,3.0,2.0,4.0,1.0,5.0,2,34.4,Travel_Frequently,Parksview,Jason Gonzalez,No,,,False,False,46-65,6+yr
EMP1062,Joshua Davies,Male,53.0,,Single,Research & Development,Lab Technician,4,Technical Degree,2017-11-05,7,16400.0,94.08,No,3.0,3.0,,3.0,0.0,3.0,2,29.9,Non-Travel,South Alicia,Alyssa Jenkins,No,,,True,False,46-65,6+yr
EMP2304,Jamie Wallace,Male,31.0,,Single,Research & Development,Research Scientist,2,Human Resources,2018-12-06,6,100000.0,67.84,Yes,5.0,4.0,3.0,3.0,1.0,3.0,1,,Non-Travel,Port Suzanne,Brenda Gibson,No,,,False,False,26-35,3-6yr
EMP1038,Vernon Kaufman,Female,36.0,,Married,Sales,Sales Manager,3,Medical,,7,83200.0,75.73,Yes,1.0,1.0,4.0,2.0,2.0,3.0,2,,Travel_Rarely,Jefferyburgh,John Shaw,Yes,Higher Salary,2017-03-17,False,False,36-45,6+yr
EMP1958,Adam Herrera,Female,41.0,,Single,Sales,Sales Executive,1,Medical,,7,75200.0,70.14,No,3.0,1.0,1.0,,0.0,5.0,3,26.6,Travel_Frequently,Reneeview,Gabriel Miller,No,,,True,False,36-45,6+yr
EMP2480,Johnathan Delgado,Not Disclosed,41.0,2000-05-19,Single,Human Resources,Recruiter,2,Life Sciences,,3,70800.0,79.36,No,5.0,,2.0,3.0,2.0,3.0,2,12.2,Travel_Rarely,Williamston,James Nichols,No,,,True,False,36-45,1-3yr
EMP1267,Gabriel Williams,Male,49.0,,Married,Sales,Sales Representative,3,Marketing,,7,20500.0,41.42,No,1.0,4.0,,1.0,2.0,5.0,0,7.1,Travel_Frequently,Hannahview,Evan Barnes,No,,,True,False,46-65,6+yr
EMP2433,Jessica Lewis,Male,53.0,,Married,Human Resources,HR Executive,1,Marketing,,2,24800.0,68.29,No,3.0,,4.0,4.0,2.0,6.0,0,,Non-Travel,Barkerville,Mary Santiago,No,,,True,False,46-65,1-3yr
